commit_id,line,line_level_label,count,line_score,row
ed39d8a71b1926c88bb4e7ea117dce58b43b6ce8,"return [extensions.ResourceExtension(COLLECTION_NAME,",1,2,1.0,1
ed39d8a71b1926c88bb4e7ea117dce58b43b6ce8,"RESOURCE_NAME = ""service_type""",0,1,0.5,2
ed39d8a71b1926c88bb4e7ea117dce58b43b6ce8,EXT_ALIAS = 'service-type',0,1,0.5,3
ed39d8a71b1926c88bb4e7ea117dce58b43b6ce8,"my_plurals = [(key, key[:-1]) for key in RESOURCE_ATTRIBUTE_MAP.keys()]",0,1,0.5,4
ed39d8a71b1926c88bb4e7ea117dce58b43b6ce8,"collection_name = COLLECTION_NAME.replace('_', '-')",0,1,0.5,5
ed39d8a71b1926c88bb4e7ea117dce58b43b6ce8,"return [extensions.ResourceExtension(collection_name,",0,1,0.5,6
ed39d8a71b1926c88bb4e7ea117dce58b43b6ce8,"RESOURCE_NAME = ""service-type""",1,1,0.5,7
ed39d8a71b1926c88bb4e7ea117dce58b43b6ce8,EXT_ALIAS = RESOURCE_NAME,1,1,0.5,8
ed39d8a71b1926c88bb4e7ea117dce58b43b6ce8,"my_plurals = [(key.replace('-', '_'),",1,1,0.5,9
ed39d8a71b1926c88bb4e7ea117dce58b43b6ce8,"collection_name,",0,0,0.0,10
ed39d8a71b1926c88bb4e7ea117dce58b43b6ce8,"key[:-1].replace('-', '_')) for",1,0,0.0,11
ed39d8a71b1926c88bb4e7ea117dce58b43b6ce8,key in RESOURCE_ATTRIBUTE_MAP.keys()],1,0,0.0,12
ed39d8a71b1926c88bb4e7ea117dce58b43b6ce8,"COLLECTION_NAME,",1,0,0.0,13
